title,text
Sate Kambing & Ayam Pak Jogo,"Terbukti enak nih sate... nginep di grand rohan, nanya pak sekuriti sate enak disini dimana, dijawab Sate Pak Jono paling komdang se jogja... Pas kami cobain, beneran... dagingnya lembut, ga alot, dan ga prengus... bumbunya meresap. Nasi gorengnya juga juara, enak banget... ohya, diseberangnya ada pedagang daster, murah-murah, jangan lu0a dilarisin ya... sayang disini ga sedia sambel, adanya cuma cabe ijo mentah. buat kami orang jawa timur kurang nendang pedasnya. untuk suasana, biasa aja sama dengan warung-warung sate lainnya."
Sate Kambing & Ayam Pak Jogo,"Satenya aneh banget masak dihidangkan tanpa tusukan, untuk rasa satenya enak lah, tapi untuk tongsengnya terlalu light dan ga berasa rempahnya."
Sate Kambing & Ayam Pak Jogo,"Sepanjang persate2an apalagi kambing gk berani coba krn kebayang bau nya, dan disni beraniin coba sate klatak nya yg jd rekomendasi dan ternyata enaaaakk 😭😭"
Sate Kambing & Ayam Pak Jogo,"Sudah dua kali kesini, kesannya baik"
Sate Kambing & Ayam Pak Jogo,"daging empuk, pelayanan cepat. parkir luas, antre di jam makan siang normal."
Sate Kambing & Ayam Pak Jogo,salah satu warung sate kambing di jogja selatan yang layak dicoba
Sate Kambing & Ayam Pak Jogo,"Makanan enak dan pelayananya sangat baik, tetap di pertahnakan yaaa"
Sate Kambing & Ayam Pak Jogo,Hallo Pemirsa sudah beberapa kali kesini kalau kangen sate kambing. Suasana didalam dan diluar syahdu . Luas tempatnya Masakannya enak dijamin mantap di lidah..nagih . Untuk menu cocok disemua umur dewasa dan anak juga. Karena anak suka yang empuk empuk biasa pesannya yang sate ayam. Pelayanan ramah . Parkir ada untuk Motor kalau mobil ada dipinggir jalan dan masuk halaman sebrang jalan. BEST. 😎
Sate Kambing & Ayam Pak Jogo,"Sate kambing dan ayam pak Jogo, warung sate sederhana di Jogja, lokasinya tak jauh dari UIN, sepertinya sudah cukup legendaris di Jogja karena saya lihat sudah banyak artis maupun selebritis yang singgah disini untuk mencicipi berbagai hidangan, terutama menu andalannya yaitu sate kambing dan ayam. Meskipun warung makan milik Pak Jogo ini termasuk salah satu dari sekian banyaknya warung makan sate di Jogja, namun cita rasa sate kambing dan ayam milik Pak Jogo ini ga kalah enak dan bisa dibilang istimewa. Satu porsi sate ayam berisi 10 tusuk (kalo ga salah hitung ya), full daging yang juicy menut-menut, dilengkapi dengan sambal kacang yang legit, ini favorit saya, rasanya mantap, dan sangat mengenyangkan. Sementara sate kambingnya disajikan tanpa tusuk dan tanpa sambel kacang, hanya dilengkapi dengan guyuran kecap manis, serta irisan kubis dan tomat sebagai lalapannya. Untuk bumbu pada sate kambing dan ayamnya berhasil merasuk sampai ke dalam daging, aroma bakarannya melekat menusuk hidung sehingga menambah nafsu makan. Tongseng kambing dan sop iga juga terlihat sangat enak dan menggiurkan. Tapi semua menu yg disajikan belum termasuk lontong asi, sehingga harus dipesan secara terpisah. Pelayanan disini bisa dibilang memuaskan, semua pelayan ramah dan cekatan, jadi jika memesan beberapa menu pun tidak perlu menunggu terlalu lama. Tempatnya memang sederhana tapi kebersihan sangat terjaga, parkir dan toilet juga memadai. Overall pengalaman saya makan disini oke oke saja karena saya tidak mendapatkan pengalaman yang mengganggu kenyamanan, makanannya juga enak sehingga membuat suasana hati senang dan bahagia. Sepertinya suatu saat nanti saya akan kembali lagi kesini untuk bernostalgia dengan sate ayamnya atau mungkin mencoba menu lainnya yang belum sempat saya icip. (Maaf tidak bisa menyertakan foto makanannya karena begitu pesanan dihidangkan langsung saya ""hap!"" karena posisi sudah kelaparan, haha). Sukses selalu💖🥰"
Sate Kambing & Ayam Pak Jogo,"Satenya banyak yang gosong sampai hitam ber-arang. Tempatnya tidak terlalu luas tp cukupan untuk warung sate, parkirannya luas."
Sate Kambing & Ayam Pak Jogo,Sate kambing nya mantap Dagingnya empuk dan rasa enak Tempat luas ..angin sepoi² homy Pelayanan jg cepat Utk parkir mobil lumayan ada beberapa di halaman depan
Sate Kambing & Ayam Pak Jogo,"Salah satu pilihan tetap sate kambing, sering nya dibawa pulang Tidak menunggu lama untuk dapat pesanan."
Sate Kambing & Ayam Pak Jogo,"Sate klatak mantap, a must try. makes u feel like ure eating wagyu, no strong mutton taste. personally i dont eat mutton as i dont like how mutton tastes but sate klathak is a must try. however the sate ayam is nice but average, the seating place at the back nearer to the praying room was filled with flies and we had to request for a candle to help chase the flies away and even then there were still flies. also recommended by our driver who said this was a local favourite."
Sate Kambing & Ayam Pak Jogo,"Semua menunya enak, tempat cukup luas, parkiran juga luas"
Sate Kambing & Ayam Pak Jogo,"This restaurant was recommended by our online driver, who said it’s a local favorite and not yet widely known by tourists. We ordered the Chicken Tengkleng and Lamb Satay — both were delicious! If you enjoy spicy food, you can request extra heat. The service was great, and we didn’t have to wait long after placing our order."
Sate Kambing & Ayam Pak Jogo,"Depot yang tidak terlalu besar tapi lumayan banyak meja. Datang sore masih sepi jadi makanannya lumayan cepat datang. Sate klataknya gurih asin favorit, sate kambing tipe manis bisa tambah saus kacang kalo suka. Tengkleng, tongseng, gule kuahnya mirip rasa gurih sedikit manis. Tipe dagingnya masih yg kenyal, enak dimakan saat masih panas. Untuk pecinta sate kambing wajib kesini."
Sate Kambing & Ayam Pak Jogo,"Sate kambingnya lumayan, cenderung terlalu manis banget bumbu kecapnya dan agak alot... layanannya bagus, tidak perlu antri lama, mudah cari meja soalnya banyak,,"
Sate Kambing & Ayam Pak Jogo,komplit sate ayam kambing tingseng tengkleng..
Sate Kambing & Ayam Pak Jogo,Rasa cukup enak.. pelayanan cepat.. kebetulan kesini bisa dapat parkir roda 4 persis didepan resto.. pembayaran by qris..
Sate Kambing & Ayam Pak Jogo,"Rasa lumayan, pelayanan cepet, suasana nyaman"
Sate Kambing & Ayam Pak Jogo,"Rasa makanannya enak, pilihannya banyak, tempatnya juga luas, tersedia parkiran juga baik mobil atau motor, harganya juga bersaing’ pelayanannya cukup cepat dan ramah"
Sate Kambing & Ayam Pak Jogo,Makanan enak Layanan ramah Suasana nyaman
Sate Kambing & Ayam Pak Jogo,Gulai is the best choice...tengkleng very few meat... sate is little tough
