"title","url","stars","name","reviewUrl","text"
"Sate Kambing & Ayam Pak Jogo","https://www.google.com/maps/search/?api=1&query=Sate%20Kambing%20%26%20Ayam%20Pak%20Jogo&query_place_id=ChIJrRhWGWhXei4Rtelbq7-Xyro","4","Muhammad Ali Faiq","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUR3MHBINjVRRRAB!2m1!1s0x0:0xbaca97bfab5be9b5!3m1!1s2@1:CIHM0ogKEICAgIDw0pH65QE%7C%7C?hl=id","Menyediakan makanan olahan daging kambing: sate bakar, sate klatak tengkleng, tongseng (kepala ada). Sate ayam ada, nasi goreng ada, dan sop iga sapi.
Sate kambingnya empuk top banget, sop iganya kurang seger aja sih"
"Sate Kambing & Ayam Pak Jogo","https://www.google.com/maps/search/?api=1&query=Sate%20Kambing%20%26%20Ayam%20Pak%20Jogo&query_place_id=ChIJrRhWGWhXei4Rtelbq7-Xyro","5","Arif Amrullah","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURpN0tlMnl3RRAB!2m1!1s0x0:0xbaca97bfab5be9b5!3m1!1s2@1:CIHM0ogKEICAgIDi7Ke2ywE%7C%7C?hl=id","Kalau pengen sate yang layanannya cepat ya di sini. Rasa sudah oke."
"Sate Kambing & Ayam Pak Jogo","https://www.google.com/maps/search/?api=1&query=Sate%20Kambing%20%26%20Ayam%20Pak%20Jogo&query_place_id=ChIJrRhWGWhXei4Rtelbq7-Xyro","4","TETOT T","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNHbGFlUmdRRRAB!2m1!1s0x0:0xbaca97bfab5be9b5!3m1!1s2@1:CIHM0ogKEICAgICGlaeRgQE%7C%7C?hl=id","Lumayan dari pada lumanyun"
"Sate Kambing & Ayam Pak Jogo","https://www.google.com/maps/search/?api=1&query=Sate%20Kambing%20%26%20Ayam%20Pak%20Jogo&query_place_id=ChIJrRhWGWhXei4Rtelbq7-Xyro","1","Tri Santoso","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21vd1pWQXRNVnBaU1RCNU9XTjVaMXBqWWpWblZFRRAB!2m1!1s0x0:0xbaca97bfab5be9b5!3m1!1s2@1:CAIQACodChtycF9oOmowZVAtMVpZSTB5OWN5Z1pjYjVnVEE%7C%7C?hl=id","Pesan sate dua porsi. Dagingnya alot. Kambing tua."
"Sate Kambing & Ayam Pak Jogo","https://www.google.com/maps/search/?api=1&query=Sate%20Kambing%20%26%20Ayam%20Pak%20Jogo&query_place_id=ChIJrRhWGWhXei4Rtelbq7-Xyro","5","Alex Tanzil","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25nNGQwTjJkVk40U1VKUFVYWmthRjlUUnpkck1WRRAB!2m1!1s0x0:0xbaca97bfab5be9b5!3m1!1s2@1:CAIQACodChtycF9oOng4d0N2dVN4SUJPUXZkaF9TRzdrMVE%7C%7C?hl=id","Makanan enak, tempat cukup luas tp parkiran mobil agak terbatas"
"Sate Kambing & Ayam Pak Jogo","https://www.google.com/maps/search/?api=1&query=Sate%20Kambing%20%26%20Ayam%20Pak%20Jogo&query_place_id=ChIJrRhWGWhXei4Rtelbq7-Xyro","5","Ally Ardhyan","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT214V1lYUlZVSEZaTms5eFVXMXZSbTFoZDA1TE1WRRAB!2m1!1s0x0:0xbaca97bfab5be9b5!3m1!1s2@1:CAIQACodChtycF9oOmxWYXRVUHFZNk9xUW1vRm1hd05LMVE%7C%7C?hl=id","Josss mantab"
"Sate Kambing & Ayam Pak Jogo","https://www.google.com/maps/search/?api=1&query=Sate%20Kambing%20%26%20Ayam%20Pak%20Jogo&query_place_id=ChIJrRhWGWhXei4Rtelbq7-Xyro","1","Andi Nugroho","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25BNFYzSXpURXRxYmxCdWRGSlNiR2xJVUc5RVoxRRAB!2m1!1s0x0:0xbaca97bfab5be9b5!3m1!1s2@1:CAIQACodChtycF9oOnA4V3IzTEtqblBudFJSbGlIUG9EZ1E%7C%7C?hl=id","Ke Pak Jogo pesan tongseng 5 porsi minta kuah dan daging dipisah karena utk dibawa perjalanan keluar kota sebagai oleh-oleh, namun info dari pegawai tidak bisa dipisah, akhirnya gak jadi pesan.
Sayang sekali padahal mau dibuat oleh-oleh, semoga ke depan Pak Jogo bisa mengkomodir pesanan seperti saya"
"Sate Kambing & Ayam Pak Jogo","https://www.google.com/maps/search/?api=1&query=Sate%20Kambing%20%26%20Ayam%20Pak%20Jogo&query_place_id=ChIJrRhWGWhXei4Rtelbq7-Xyro","5","Fauzi Oktama","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xOUFlWUjZPVkJmYTJaTVlXcGZaM3BsVFVKMllYYxAB!2m1!1s0x0:0xbaca97bfab5be9b5!3m1!1s2@1:CAIQACodChtycF9oOlNPYVR6OVBfa2ZMYWpfZ3plTUJ2YXc%7C%7C?hl=id","Lumayan enakk"
"Sate Kambing & Ayam Pak Jogo","https://www.google.com/maps/search/?api=1&query=Sate%20Kambing%20%26%20Ayam%20Pak%20Jogo&query_place_id=ChIJrRhWGWhXei4Rtelbq7-Xyro","3","Amalia Tri Wahyuni","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pkdVExZEJjSFZvTTIxa2JVOUlOelJHVFhOaFdWRRAB!2m1!1s0x0:0xbaca97bfab5be9b5!3m1!1s2@1:CAIQACodChtycF9oOjduQ1dBcHVoM21kbU9INzRGTXNhWVE%7C%7C?hl=id","Kirain seenak review orang orang."
"Sate Kambing & Ayam Pak Jogo","https://www.google.com/maps/search/?api=1&query=Sate%20Kambing%20%26%20Ayam%20Pak%20Jogo&query_place_id=ChIJrRhWGWhXei4Rtelbq7-Xyro","5","Festy Inkananda","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21obVpWb3RPRk5SU0ZaMVR6ZGlkVzVJWDFwUmIwRRAB!2m1!1s0x0:0xbaca97bfab5be9b5!3m1!1s2@1:CAIQACodChtycF9oOmhmZVotOFNRSFZ1TzdidW5IX1pRb0E%7C%7C?hl=id",
"Sate Kambing & Ayam Pak Jogo","https://www.google.com/maps/search/?api=1&query=Sate%20Kambing%20%26%20Ayam%20Pak%20Jogo&query_place_id=ChIJrRhWGWhXei4Rtelbq7-Xyro","5","Ivan Kurniawan","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pSWFFuUTNWRGM1ZEdKRloxTmZWVkZFVFc1Wk0xRRAB!2m1!1s0x0:0xbaca97bfab5be9b5!3m1!1s2@1:CAIQACodChtycF9oOjRXQnQ3VDc5dGJFZ1NfVVFETW5ZM1E%7C%7C?hl=id","Makanannya makyuss, porsi pas di perut"
"Sate Kambing & Ayam Pak Jogo","https://www.google.com/maps/search/?api=1&query=Sate%20Kambing%20%26%20Ayam%20Pak%20Jogo&query_place_id=ChIJrRhWGWhXei4Rtelbq7-Xyro","5","Muhammad Nur Waskito","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21Wc1NHNTNWWHBTUXpOUlJrUnZjR2RtYVhRNVFXYxAB!2m1!1s0x0:0xbaca97bfab5be9b5!3m1!1s2@1:CAIQACodChtycF9oOmVsSG53VXpSQzNRRkRvcGdmaXQ5QWc%7C%7C?hl=id","Rekomendasi sate kambing yang enak tempat luas secara penyajian tidak lama."
